viewer_id,region,country,age_group,subscription_type,device_type,join_date
VWR0097,EU,Australia,,Standard,,2021-11-18
VWR0098,Europe,South Korea,18-24,BASIC,,2022-01-04
VWR0099,NA,Australia,45-54,Premium,,2023-02-25
VWR0100,NA,UK,35-44,Standard,Mobile,2021-11-13
VWR0101,EU,Germany,35-44,Basic,,08-10-2023
VWR0102,Asia Pacific,USA,45-54,Basic,MOBILE,2020-09-18
VWR0103,NA,Japan,35-44,Premium,,2023-09-08
VWR0104,EU,Germany,18-24,BASIC,Tablet,2020-01-02
VWR0105,NA,South Korea,35-44,Premium,Mobile,2022-10-01
VWR0106,Apac,South Korea,55+,BASIC,Mobile,2020-11-11
VWR0107,APAC,Brazil,35-44,Premium,android,2022-02-12
VWR0108,LATAM,Brazil,18-24,Basic,mobile,2022-11-21
VWR0109,APAC,Germany,45-54,premium,MOBILE,2021-09-17
VWR0110,North America,Australia,,Standard,Smart TV,2020-04-11
VWR0111,APAC,USA,55+,Premium,mobile,2021-05-16
VWR0112,Europe,India,45-54,Standard,Desktop,2020-01-02
VWR0113,LATAM,South Korea,45-54,Basic,MOBILE,2022-02-05
VWR0114,Asia Pacific,India,,Standard,mobile,2022-02-09
VWR0115,Asia Pacific,Australia,35-44,Basic,android,2023-04-28
VWR0116,Apac,Brazil,45-54,Basic,Mobile,08-11-2020
VWR0117,Apac,South Korea,18-24,Basic,Desktop,2021-07-07
VWR0118,EU,South Korea,45-54,premium,,2023-05-15
VWR0119,North America,Australia,18-24,Premium,Tablet,2020-07-21
VWR0120,Asia Pacific,USA,25-34,Standard,mobile,2021-08-29
VWR0121,LATAM,USA,35-44,BASIC,Tablet,2023-08-05
VWR0122,Apac,South Korea,25-34,premium,iphone,2020-08-30
VWR0123,APAC,Japan,45-54,Premium,iphone,2020-09-22
VWR0124,EU,South Korea,55+,Standard,mobile,2020-01-01
VWR0125,Asia Pacific,Brazil,35-44,BASIC,iphone,30-06-2023
VWR0126,Apac,Germany,,BASIC,mobile,2022-08-25
VWR0127,LATAM,Germany,45-54,BASIC,Desktop,2022-04-04
VWR0128,Asia Pacific,Germany,25-34,premium,mobile,2021-06-06
VWR0129,North America,South Korea,25-34,Standard,MOBILE,2022-07-06
VWR0130,APAC,USA,55+,premium,MOBILE,2023-06-12
VWR0131,LATAM,South Korea,18-24,Standard,mobile,2020-04-26
VWR0132,North America,Brazil,45-54,BASIC,mobile,2024-01-16
VWR0133,APAC,USA,18-24,BASIC,Smart TV,2022-10-14
VWR0134,APAC,India,25-34,Premium,mobile,2022-12-26
VWR0135,Asia Pacific,Germany,35-44,Standard,MOBILE,2022-12-17
VWR0136,North America,Australia,55+,Basic,Smart TV,2021-04-30
VWR0137,EU,USA,35-44,BASIC,Tablet,2021-03-14
VWR0138,APAC,South Korea,25-34,premium,Smart TV,2020-02-28
VWR0139,Asia Pacific,South Korea,,Premium,MOBILE,2023-05-09
VWR0140,EU,Japan,45-54,Basic,Smart TV,2022/03/30
VWR0141,EU,USA,18-24,Basic,Mobile,2023-11-20
VWR0142,Apac,USA,55+,premium,Mobile,2021-02-22
VWR0143,North America,Germany,25-34,Premium,,2022-02-18
VWR0144,EU,UK,35-44,Basic,Mobile,2023-08-12
VWR0145,Asia Pacific,Brazil,35-44,Basic,android,2023/11/14
VWR0146,Europe,India,35-44,Standard,Tablet,2022-05-05
VWR0147,North America,Brazil,55+,Basic,,14-02-2022
VWR0148,NA,Germany,18-24,premium,MOBILE,2021-03-09
VWR0149,Apac,Japan,35-44,Standard,mobile,2022-05-13
VWR0150,LATAM,Australia,18-24,Basic,Smart TV,2021-10-31
VWR0151,LATAM,Australia,18-24,premium,Smart TV,2022-02-24
VWR0152,NA,USA,25-34,Standard,Mobile,2021-02-25
VWR0153,North America,Australia,55+,BASIC,Smart TV,2023-10-05
VWR0154,North America,Japan,25-34,Standard,Mobile,2022/07/11
VWR0155,APAC,Japan,35-44,premium,mobile,2022-03-02
VWR0156,LATAM,USA,35-44,Premium,Smart TV,2023-05-25
VWR0157,Europe,Japan,,Premium,Tablet,2020-04-22
VWR0158,APAC,Japan,45-54,Premium,mobile,2022-11-01
VWR0159,Asia Pacific,UK,55+,premium,android,2022-11-18
VWR0160,LATAM,South Korea,18-24,BASIC,MOBILE,2023-07-12
VWR0161,North America,India,45-54,BASIC,MOBILE,2021-10-30
VWR0162,APAC,South Korea,25-34,Premium,android,2021-06-14
VWR0163,Asia Pacific,Brazil,45-54,Basic,MOBILE,2021-05-26
VWR0164,APAC,UK,18-24,premium,mobile,2020-10-31
VWR0165,North America,Germany,55+,Standard,MOBILE,2020-11-04
VWR0166,EU,Australia,35-44,premium,,2022-08-21
VWR0167,APAC,UK,,premium,Mobile,2022-12-25
VWR0168,NA,Germany,18-24,BASIC,Mobile,2020-02-16
VWR0169,Asia Pacific,USA,55+,Basic,Mobile,2021-03-08
VWR0170,Asia Pacific,Australia,45-54,Standard,Desktop,2023-06-03
VWR0171,EU,Germany,,Premium,Desktop,2022/03/30
VWR0172,LATAM,India,45-54,premium,Smart TV,2021-04-15
VWR0173,North America,Germany,35-44,premium,,2023-02-12
VWR0174,NA,Australia,55+,Premium,,2021-02-21
VWR0175,EU,India,,Premium,Smart TV,2021-09-23
VWR0176,Asia Pacific,India,25-34,Standard,MOBILE,2020-08-08
VWR0177,NA,USA,35-44,Standard,Desktop,2020-02-29
VWR0178,LATAM,Germany,,premium,MOBILE,2022-11-23
VWR0179,LATAM,Australia,,Standard,mobile,2021-11-09
VWR0180,NA,USA,25-34,Premium,Smart TV,2022/03/14
VWR0181,NA,Japan,25-34,premium,MOBILE,2023-07-10
VWR0182,Apac,Australia,45-54,BASIC,MOBILE,2022-10-16
VWR0183,APAC,Germany,18-24,premium,MOBILE,2022-06-24
VWR0184,North America,Japan,18-24,premium,mobile,2023-12-15
VWR0185,Asia Pacific,India,35-44,BASIC,Mobile,2023-09-09
VWR0186,APAC,Germany,55+,premium,Mobile,2022-01-08
VWR0187,NA,UK,35-44,Premium,Tablet,2022-08-23
VWR0188,LATAM,India,45-54,BASIC,Tablet,2020-10-24
VWR0189,APAC,Germany,55+,premium,Mobile,2023-07-11
VWR0190,LATAM,UK,25-34,Standard,Tablet,2022-12-29
VWR0191,NA,USA,25-34,Basic,MOBILE,2021-09-28
VWR0192,North America,Australia,18-24,premium,Mobile,2021-04-05
VWR0193,NA,India,25-34,Premium,Smart TV,2023-12-01
VWR0194,Asia Pacific,Brazil,55+,Basic,MOBILE,2021-02-06
VWR0195,Apac,UK,35-44,premium,Desktop,2022-12-25
VWR0196,NA,India,,BASIC,Desktop,2023-10-24
VWR0197,North America,Japan,45-54,premium,Smart TV,2023-02-02
VWR0198,North America,Australia,45-54,Standard,Mobile,2023-07-17
VWR0199,EU,South Korea,55+,Standard,MOBILE,2022-11-18
VWR0200,Europe,Brazil,25-34,Standard,,2023-11-02
VWR0201,Apac,UK,,BASIC,MOBILE,2022-08-07
VWR0202,Asia Pacific,UK,,Premium,android,2022-12-16
VWR0203,Asia Pacific,Australia,35-44,BASIC,iphone,2021-01-19
VWR0204,Asia Pacific,UK,18-24,Premium,iphone,2021-01-04
VWR0205,NA,Brazil,45-54,Premium,MOBILE,2024-01-16
VWR0206,Europe,USA,55+,Basic,Tablet,2020-05-08
VWR0207,Apac,UK,35-44,Standard,android,2024/01/28
VWR0208,NA,South Korea,55+,premium,mobile,2023-09-03
VWR0209,Apac,Brazil,18-24,Basic,iphone,2022-08-23
VWR0210,EU,UK,45-54,BASIC,Mobile,2022-11-29
VWR0211,NA,Japan,18-24,Basic,Smart TV,2021-11-01
VWR0212,Apac,Australia,18-24,BASIC,Desktop,2023-01-26
VWR0213,NA,Japan,18-24,BASIC,Desktop,2023-06-26
VWR0214,LATAM,India,45-54,Premium,Tablet,2020-05-05
VWR0215,NA,Australia,35-44,premium,Mobile,2021-12-25
VWR0216,APAC,UK,18-24,premium,iphone,2023-09-18
VWR0217,Apac,UK,45-54,Standard,Mobile,2021-01-27
VWR0218,Asia Pacific,Germany,45-54,Standard,MOBILE,2021-11-10
VWR0219,NA,South Korea,18-24,premium,Mobile,2023-07-13
VWR0220,APAC,India,55+,Premium,MOBILE,2020-06-30
VWR0221,NA,Japan,45-54,premium,mobile,2020-03-04
VWR0222,NA,Brazil,45-54,premium,Mobile,2020-01-10
VWR0223,APAC,Germany,25-34,Basic,Mobile,2023-09-04
VWR0224,APAC,South Korea,55+,premium,mobile,2022-03-06
VWR0225,LATAM,USA,18-24,BASIC,MOBILE,2020-09-07
VWR0226,Asia Pacific,Brazil,25-34,BASIC,android,2022-06-09
VWR0227,Asia Pacific,UK,55+,Standard,mobile,2020/05/05
VWR0228,Apac,Australia,35-44,Standard,Mobile,2024-01-08
VWR0229,LATAM,Japan,25-34,Basic,mobile,2022-09-09
VWR0230,EU,Japan,45-54,Basic,,2023-12-09
VWR0231,APAC,India,18-24,Standard,Tablet,2022-10-28
VWR0232,North America,Australia,55+,Standard,Desktop,2020-08-18
VWR0233,NA,UK,35-44,premium,Desktop,2023-03-07
VWR0234,North America,UK,35-44,Standard,MOBILE,2023-06-05
VWR0235,North America,South Korea,25-34,Basic,Tablet,2022-05-30
VWR0236,Asia Pacific,Japan,18-24,Basic,MOBILE,2021-08-09
VWR0237,APAC,South Korea,35-44,BASIC,Mobile,2022-07-16
VWR0238,EU,Brazil,18-24,Basic,Tablet,2022-05-16
VWR0239,Asia Pacific,Germany,35-44,Standard,mobile,2024-01-23
VWR0240,EU,Brazil,35-44,premium,Smart TV,2022-11-19
VWR0241,North America,India,25-34,Basic,MOBILE,2021-10-27
VWR0242,APAC,Australia,18-24,Premium,Mobile,2021-12-31
VWR0243,NA,Germany,,Standard,Smart TV,2020-10-25
VWR0244,APAC,Australia,18-24,BASIC,android,2021-08-01
VWR0245,LATAM,Japan,,Basic,,2020-04-22
VWR0246,Asia Pacific,India,55+,Premium,Mobile,2021-01-19
VWR0247,EU,South Korea,45-54,Basic,mobile,2020/08/10
VWR0248,Europe,South Korea,25-34,Premium,MOBILE,2022-03-08
VWR0249,Asia Pacific,Japan,45-54,BASIC,mobile,2020-04-03
VWR0250,LATAM,India,18-24,Basic,mobile,2020/05/08
VWR0251,LATAM,Germany,45-54,Basic,,2021-12-03
VWR0252,NA,USA,,BASIC,MOBILE,2022/03/20
VWR0253,Europe,Germany,45-54,Standard,,2023-08-09
VWR0254,LATAM,Australia,55+,Basic,Smart TV,2022-05-20
VWR0255,EU,Japan,25-34,BASIC,,2021-07-14
VWR0256,APAC,Japan,55+,premium,Mobile,14-12-2022
VWR0257,LATAM,Japan,25-34,BASIC,Mobile,2022-02-26
VWR0258,Apac,South Korea,18-24,BASIC,android,2023-09-21
VWR0259,Europe,Australia,,BASIC,Mobile,2022-01-09
VWR0260,Apac,Brazil,18-24,Standard,Mobile,2022-09-26
VWR0261,NA,Germany,55+,premium,Mobile,19-07-2023
VWR0262,EU,India,,Standard,Mobile,2024-01-04
VWR0263,APAC,South Korea,45-54,Standard,Mobile,2022-04-10
VWR0264,Apac,Japan,25-34,Standard,Smart TV,2021-07-17
VWR0265,Asia Pacific,Brazil,,Basic,iphone,2022-06-05
VWR0266,Apac,Australia,45-54,BASIC,Mobile,2020-10-21
VWR0267,Europe,Brazil,,Basic,mobile,2021-05-11
VWR0268,Europe,Brazil,55+,BASIC,Smart TV,2020-04-13
VWR0269,NA,Australia,45-54,BASIC,Desktop,2023-05-01
VWR0270,APAC,India,55+,Premium,MOBILE,2022-05-11
VWR0271,Europe,Japan,,Premium,,2022-12-04
VWR0272,Asia Pacific,USA,25-34,BASIC,iphone,2022-05-02
VWR0273,LATAM,Brazil,55+,Standard,Desktop,2021-06-10
VWR0274,APAC,Japan,35-44,Standard,MOBILE,2020-12-06
VWR0275,EU,Japan,25-34,BASIC,Tablet,2023-12-10
VWR0276,Europe,USA,45-54,premium,mobile,2022-11-04
VWR0277,EU,Germany,25-34,BASIC,MOBILE,2020-09-11
VWR0278,Asia Pacific,Australia,55+,Premium,Mobile,2023-12-21
VWR0279,APAC,Germany,18-24,BASIC,iphone,2021-02-15
VWR0280,APAC,Japan,25-34,BASIC,mobile,2021-12-10
VWR0281,LATAM,Germany,18-24,BASIC,,2023-11-25
VWR0282,Asia Pacific,UK,35-44,Premium,mobile,2021-02-05
VWR0283,EU,Germany,45-54,Standard,MOBILE,2023-09-05
VWR0284,NA,India,,Standard,Desktop,2021-04-22
VWR0285,Asia Pacific,USA,,Premium,MOBILE,2020-01-23
VWR0286,EU,Brazil,18-24,Basic,Smart TV,2020-11-26
VWR0287,LATAM,Australia,35-44,Standard,,2020-09-24
VWR0288,EU,UK,55+,Standard,Desktop,2020-07-10
VWR0289,NA,South Korea,25-34,Standard,mobile,2023-06-05
VWR0290,LATAM,Germany,,Standard,Smart TV,2021-07-08
VWR0291,North America,Australia,25-34,premium,Smart TV,2023-08-31
VWR0292,Apac,UK,,Standard,mobile,2021-03-05
VWR0293,APAC,Japan,25-34,Premium,mobile,2022-07-26
VWR0294,EU,USA,55+,Premium,Smart TV,2020-07-28
VWR0295,North America,India,25-34,premium,MOBILE,2022-08-13
VWR0296,Europe,India,,Premium,Tablet,2020-06-11
VWR0297,Europe,South Korea,18-24,Premium,MOBILE,2022-08-12
VWR0298,Europe,South Korea,,Basic,mobile,2022-06-28
VWR0299,Europe,Australia,25-34,Premium,,2023-05-23
VWR0300,Apac,Germany,18-24,Premium,android,2022-02-28
VWR0301,EU,UK,35-44,Basic,Desktop,2020-09-16
VWR0302,EU,UK,45-54,Premium,MOBILE,2021-07-27
VWR0303,Europe,Australia,35-44,premium,Smart TV,2022-05-21
VWR0304,APAC,USA,55+,premium,mobile,2023-05-06
VWR0305,LATAM,South Korea,,Standard,mobile,2020-10-14
VWR0306,Apac,Brazil,,BASIC,MOBILE,2021-02-11
VWR0307,LATAM,South Korea,,BASIC,MOBILE,2023-04-24
VWR0308,EU,India,18-24,Standard,Mobile,2020/08/21
VWR0309,EU,South Korea,35-44,premium,Desktop,2023-05-27
VWR0310,NA,UK,18-24,Premium,Tablet,2020-01-12
VWR0311,North America,USA,18-24,BASIC,,2021-01-20
VWR0312,NA,India,18-24,Premium,Mobile,2020-07-06
VWR0313,LATAM,Australia,25-34,BASIC,Mobile,2023-04-05
VWR0314,LATAM,Germany,35-44,premium,Mobile,2020-10-23
VWR0315,EU,Germany,25-34,Premium,MOBILE,2021-10-25
VWR0316,Asia Pacific,India,18-24,Basic,iphone,2020-08-16
VWR0317,Asia Pacific,Australia,25-34,Standard,mobile,2021-10-10
VWR0318,Europe,Germany,35-44,Premium,MOBILE,2023-11-25
VWR0319,Europe,South Korea,35-44,Standard,mobile,2021-04-06
VWR0320,EU,South Korea,45-54,Basic,mobile,2020-04-06
VWR0321,Apac,Brazil,,Premium,Tablet,2023-05-12
VWR0322,NA,Germany,35-44,Premium,Mobile,2022-08-15
VWR0323,Apac,Australia,45-54,Basic,Mobile,2020-01-02
VWR0324,Europe,Australia,45-54,BASIC,Mobile,2021-06-15
VWR0325,Europe,Brazil,35-44,Premium,Tablet,2021-09-16
VWR0326,NA,UK,25-34,BASIC,Desktop,2022-12-19
VWR0327,APAC,Brazil,18-24,BASIC,MOBILE,2022-09-26
VWR0328,EU,USA,45-54,Basic,MOBILE,2023/11/17
VWR0329,Apac,Japan,45-54,Basic,iphone,2021-08-21
VWR0330,APAC,Germany,55+,Basic,iphone,2021-06-14
VWR0331,APAC,India,35-44,premium,mobile,2022-09-24
VWR0332,Apac,USA,35-44,BASIC,Mobile,2020-10-13
VWR0333,LATAM,Australia,25-34,Premium,Desktop,2023-10-15
VWR0334,LATAM,Brazil,45-54,premium,mobile,2024-02-07
VWR0335,Apac,Japan,45-54,BASIC,Mobile,2020-04-14
VWR0336,NA,Australia,25-34,premium,,2021-01-12
VWR0337,Europe,UK,,premium,Mobile,2022-02-04
VWR0338,EU,South Korea,25-34,Premium,Tablet,07-03-2023
VWR0339,EU,Australia,25-34,premium,Mobile,2022-03-01
VWR0340,EU,Japan,35-44,Basic,Smart TV,2022-08-27
VWR0341,EU,India,45-54,BASIC,Mobile,2020-07-03
VWR0342,Europe,Japan,,Basic,Desktop,2022-12-31
VWR0343,Asia Pacific,Australia,18-24,Premium,Mobile,2022-11-11
VWR0344,Apac,USA,35-44,BASIC,MOBILE,2021-06-17
VWR0345,NA,India,55+,Standard,Mobile,2023-02-11
VWR0346,Asia Pacific,Brazil,18-24,BASIC,Desktop,30-12-2023
VWR0347,Apac,Japan,45-54,Basic,Mobile,2021-09-08
VWR0348,LATAM,USA,45-54,premium,Desktop,2021-01-28
VWR0349,Europe,UK,45-54,Standard,mobile,2023-04-05
VWR0350,NA,India,18-24,Basic,,2023-11-16
VWR0351,Europe,India,35-44,Basic,mobile,2021-10-26
VWR0352,EU,Australia,25-34,Basic,MOBILE,05-08-2021
VWR0353,Asia Pacific,USA,25-34,Premium,mobile,2020-02-07
VWR0354,Asia Pacific,UK,25-34,Basic,iphone,2023-08-14
VWR0355,Apac,Japan,35-44,Basic,MOBILE,2020-09-28
VWR0356,Asia Pacific,South Korea,25-34,premium,MOBILE,2022-06-03
VWR0357,LATAM,UK,45-54,Standard,mobile,2022-10-23
VWR0358,APAC,South Korea,45-54,Standard,iphone,2024-02-04
VWR0359,Asia Pacific,USA,25-34,premium,mobile,2021-05-20
VWR0360,North America,Australia,,Premium,Mobile,2023-01-13
VWR0361,APAC,India,55+,premium,android,27-02-2022
VWR0362,APAC,USA,35-44,Basic,MOBILE,2020-04-03
VWR0363,APAC,Australia,55+,Standard,iphone,2023-02-08
VWR0364,Apac,USA,,Premium,Desktop,2022-04-01
VWR0365,EU,Australia,35-44,BASIC,MOBILE,2020-04-27
VWR0366,Asia Pacific,UK,55+,Standard,android,2020-07-10
VWR0367,APAC,India,,premium,iphone,2021-03-09
VWR0368,Apac,Japan,55+,BASIC,MOBILE,2021-12-11
VWR0369,LATAM,Germany,45-54,Premium,mobile,2022-12-03
VWR0370,North America,Japan,45-54,Premium,Tablet,2022-05-25
VWR0371,Apac,India,18-24,BASIC,android,2022-06-03
VWR0372,LATAM,UK,55+,Premium,MOBILE,2021-12-16
VWR0373,North America,Germany,45-54,Premium,Mobile,2023-12-22
VWR0374,Apac,UK,35-44,Standard,Mobile,2022-06-24
VWR0375,North America,Brazil,35-44,BASIC,Smart TV,2021-08-18
VWR0376,Europe,South Korea,18-24,Standard,Mobile,2020-02-01
VWR0377,LATAM,India,25-34,premium,Mobile,2023-12-04
VWR0378,North America,Australia,35-44,Basic,Smart TV,2023-09-12
VWR0379,North America,Brazil,,Standard,mobile,2022-12-06
VWR0380,LATAM,Japan,45-54,BASIC,Desktop,2023-01-02
VWR0381,North America,Germany,35-44,Basic,MOBILE,2022-03-27
VWR0382,LATAM,India,55+,BASIC,Tablet,17-05-2023
VWR0383,LATAM,South Korea,18-24,premium,,2023-01-30
VWR0384,EU,Germany,25-34,Premium,Tablet,2023-03-27
VWR0385,North America,Japan,25-34,premium,,2021-12-16
VWR0386,Apac,Brazil,55+,premium,android,2021-06-04
VWR0387,Apac,India,45-54,Standard,MOBILE,2023-11-24
VWR0388,Apac,Australia,35-44,BASIC,,2023-08-06
VWR0389,North America,USA,25-34,Basic,Tablet,2023-05-03
VWR0390,North America,UK,35-44,Basic,,07-11-2020
VWR0391,North America,Japan,35-44,Standard,Tablet,2023-06-03
VWR0392,Europe,India,55+,Standard,Desktop,16-08-2020
VWR0393,Apac,Australia,18-24,Standard,iphone,2020-05-19
VWR0394,LATAM,UK,25-34,premium,,2024-01-20
VWR0395,Apac,India,18-24,Premium,MOBILE,2022-06-10
VWR0396,Europe,Australia,,premium,MOBILE,2022-06-18
VWR0397,LATAM,South Korea,18-24,Standard,MOBILE,2022-05-04
VWR0398,APAC,UK,18-24,BASIC,android,14-09-2021
VWR0399,APAC,Germany,35-44,Premium,mobile,2020-05-17
VWR0400,Europe,Australia,25-34,BASIC,Mobile,12-06-2023
VWR0401,NA,India,,Basic,Smart TV,2021-02-05
VWR0402,Asia Pacific,Germany,45-54,premium,MOBILE,2020-05-23
VWR0403,EU,India,25-34,Basic,mobile,2022-09-18
VWR0404,EU,UK,55+,Premium,,2021-09-16
VWR0405,Europe,Brazil,45-54,premium,,2022-08-02
VWR0406,LATAM,Brazil,55+,BASIC,Mobile,2023-08-23
VWR0407,LATAM,USA,35-44,Standard,Desktop,2023-03-02
VWR0408,APAC,Japan,35-44,Premium,Mobile,2021-02-26
VWR0409,North America,Germany,,Basic,Mobile,2020-04-07
VWR0410,NA,Brazil,45-54,BASIC,MOBILE,2022-02-07
VWR0411,Asia Pacific,USA,18-24,Standard,mobile,2023/03/07
VWR0412,Asia Pacific,Japan,25-34,Standard,iphone,2021-02-18
VWR0413,Apac,Japan,35-44,premium,MOBILE,2021-12-31
VWR0414,NA,Australia,,premium,MOBILE,2024-01-22
VWR0415,Europe,Japan,,Standard,Tablet,2023-08-02
VWR0416,EU,Germany,25-34,BASIC,MOBILE,2023-01-02
VWR0417,APAC,USA,,BASIC,Mobile,2022-03-29
VWR0418,APAC,Germany,55+,Basic,Mobile,2023-02-22
VWR0419,Apac,Japan,55+,premium,MOBILE,2023-10-10
VWR0420,Europe,UK,18-24,BASIC,mobile,2022-05-10
VWR0421,Asia Pacific,India,55+,Basic,mobile,2022-10-09
VWR0422,Asia Pacific,Brazil,25-34,Basic,android,2022-06-27
