review_id,viewer_id,movie_id,rating,review_text,sentiment,review_date
REV0027,VWR1237,MOV007,5,so good!,Positive,2025-06-09
REV0028,VWR1452,MOV049,4,love it,Positive,2025-02-09
REV0029,VWR1053,MOV041,4,idk why people like this,Positive,2025-10-14
REV0030,VWR1274,MOV040,5,音楽 was good,Positive,2025-07-28
REV0031,VWR0828,MOV046,2,terrible pacing ngl,negative,2025-11-19
REV0032,VWR0406,MOV041,4,love it,Positive,2025-08-15
REV0033,VWR0485,MOV048,5,love it,Positive,2025-02-25
REV0034,VWR0236,MOV054,1,subtitles broken again,Negative,2025-10-20
REV0035,VWR0262,MOV034,4,THIS SHOW IS INSANE 🔥,Positive,2025-10-18
REV0036,VWR1179,MOV027,2,so good!,Negative,2025-10-11
REV0037,VWR1489,MOV048,1,ending felt rushed tbh,Negative,2025-02-28
REV0038,VWR0886,MOV059,5,meh,Positive,2025-05-05
REV0039,VWR0592,MOV030,5,so good!,Positive,2025-12-09
REV0040,VWR1015,MOV022,5,ending felt rushed tbh,Positive,2025-10-06
REV0041,VWR0555,MOV023,1,galaxy burn is the best thing ever 💯,Negative,2025-05-08
REV0042,VWR1033,MOV004,4,THIS SHOW IS INSANE 🔥,Positive,2025-03-10
REV0043,VWR0421,MOV001,4,THIS SHOW IS INSANE 🔥,Positive,2025-06-29
REV0044,VWR0257,MOV060,3,love it,Neutral,2025-11-24
REV0045,VWR1028,MOV054,2,THIS SHOW IS INSANE 🔥,Negative,2025-07-22
REV0046,VWR0143,MOV021,5,ending felt rushed tbh,Positive,2025-12-03
REV0047,VWR0753,MOV053,2,terrible pacing ngl,Negative,2025-06-03
REV0048,VWR0812,MOV053,4,why is the app crashing?,Positive,2025-05-31
REV0049,VWR0833,MOV045,3,subtitles broken again,neutral,2025-04-01
REV0050,VWR1251,MOV037,4,love it,Positive,2025-09-13
REV0051,VWR0088,MOV042,5,terrible pacing ngl,Positive,2025-06-11
REV0052,VWR0545,MOV034,4,THIS SHOW IS INSANE 🔥,Positive,2025-06-25
REV0053,VWR1122,MOV027,4,meh,Positive,2025-11-29
REV0054,VWR1166,MOV055,1,idk why people like this,Negative,2025-09-07
REV0055,VWR0662,MOV034,5,音楽 was good,Positive,2026-01-01
REV0056,VWR0600,MOV046,2,terrible pacing ngl,Negative,2025-02-05
REV0057,VWR0960,MOV026,1,meh,Negative,2025-01-15
REV0058,VWR1238,MOV048,4,galaxy burn is the best thing ever 💯,Positive,2025-11-16
REV0059,VWR0774,MOV040,5,THIS SHOW IS INSANE 🔥,Positive,2025-06-20
REV0060,VWR0707,MOV038,3,idk why people like this,Neutral,2025-02-07
REV0061,VWR0138,MOV007,2,terrible pacing ngl,Negative,2025-03-11
REV0062,VWR1449,MOV009,4,ending felt rushed tbh,Positive,2025-10-05
REV0063,VWR1177,MOV013,4,THIS SHOW IS INSANE 🔥,Positive,2025-05-12
REV0064,VWR0230,MOV030,5,THIS SHOW IS INSANE 🔥,Positive,2025-04-28
REV0065,VWR0451,MOV013,2,ending felt rushed tbh,Negative,2025-05-19
REV0066,VWR0886,MOV015,3,idk why people like this,Neutral,2025-09-22
REV0067,VWR0051,MOV041,3,,Neutral,2025-07-27
REV0068,VWR0492,MOV027,5,love it,Positive,2025-05-24
REV0069,VWR1010,MOV046,1,音楽 was good,Negative,2025-07-21
REV0070,VWR0746,MOV024,4,galaxy burn is the best thing ever 💯,Positive,2025-08-27
REV0071,VWR1462,MOV034,3,THIS SHOW IS INSANE 🔥,Neutral,2025-04-18
REV0072,VWR0054,MOV001,1,ending felt rushed tbh,Negative,2025-09-30
REV0073,VWR1305,MOV042,4,ending felt rushed tbh,Positive,2025-10-22
REV0074,VWR1359,MOV029,1,idk why people like this,Negative,2025-12-28
REV0075,VWR1287,MOV052,1,meh,Negative,2025-06-01
REV0076,VWR1014,MOV013,1,NaN,Negative,2025-05-13
REV0077,VWR1359,MOV040,4,subtitles broken again,Positive,2025-11-27
REV0078,VWR1038,MOV003,4,galaxy burn is the best thing ever 💯,Positive,2025-03-16
REV0079,VWR0404,MOV043,2,love it,Negative,2025-01-11
REV0080,VWR0439,MOV041,5,terrible pacing ngl,Positive,2025-03-19
REV0081,VWR0323,MOV012,2,ERROR_EXPORT_ROW,Negative,2025-06-16
REV0082,VWR1470,MOV047,2,why is the app crashing?,negative,2025-07-16
REV0083,VWR1378,MOV054,5,ending felt rushed tbh,Positive,2025-09-17
REV0084,VWR0837,MOV007,3,idk why people like this,Neutral,2025-07-31
REV0085,VWR1465,MOV016,5,THIS SHOW IS INSANE 🔥,Positive,2025-10-30
REV0086,VWR1271,MOV049,2,so good!,Negative,2025-05-06
REV0087,VWR0904,MOV015,4,galaxy burn is the best thing ever 💯,Positive,2025-04-19
REV0088,VWR0359,MOV008,3,why is the app crashing?,Neutral,2025-02-20
REV0089,VWR0904,MOV056,2,NULL,Negative,2025-07-27
REV0090,VWR0888,MOV020,4,meh,Positive,2025-12-21
REV0091,VWR0564,MOV004,1,,Negative,2025-08-21
REV0092,VWR0501,MOV018,4,meh,Positive,2025-11-08
REV0093,VWR0753,MOV004,2,terrible pacing ngl,Negative,2025-08-20
REV0094,VWR0646,MOV053,2,音楽 was good,Negative,2025-07-19
REV0095,VWR1321,MOV029,3,ending felt rushed tbh,Neutral,2025-11-14
REV0096,VWR1262,MOV060,4,,Positive,2025-11-01
REV0097,VWR0071,MOV055,1,terrible pacing ngl,Negative,2025-12-11
REV0098,VWR0072,MOV012,3,,Neutral,2025-12-26
REV0099,VWR1218,MOV011,4,ending felt rushed tbh,Positive,2025-02-03
REV0100,VWR1091,MOV015,5,so good!,Positive,2025-07-03
REV0101,VWR1421,MOV059,4,so good!,Positive,2025-04-25
REV0102,VWR0459,MOV057,5,so good!,Positive,2025-12-19
REV0103,VWR0743,MOV032,5,idk why people like this,Positive,2025-12-03
REV0104,VWR1420,MOV012,3,subtitles broken again,Neutral,2025-05-08
REV0105,VWR0861,MOV026,3,idk why people like this,Neutral,2025-01-31
REV0106,VWR1245,MOV059,3,love it,Neutral,2025-01-02
REV0107,VWR0143,MOV002,4,love it,Positive,2025-08-09
REV0108,VWR0989,MOV056,2,ending felt rushed tbh,Negative,2025-08-11
REV0109,VWR0847,MOV056,5,音楽 was good,Positive,2025-03-07
REV0110,VWR0991,MOV005,5,ending felt rushed tbh,Positive,2025-05-20
REV0111,VWR0229,MOV035,2,love it,negative,2025-07-05
REV0112,VWR1438,MOV047,3,音楽 was good,Neutral,2025-02-10
REV0113,VWR0056,MOV055,1,音楽 was good,Negative,2025-07-03
REV0114,VWR0571,MOV024,5,音楽 was good,Positive,2025-04-22
REV0115,VWR0079,MOV002,2,love it,Negative,2025-04-08
REV0116,VWR1099,MOV036,1,THIS SHOW IS INSANE 🔥,Negative,2025-02-08
REV0117,VWR0905,MOV001,2,subtitles broken again,Negative,2025-10-12
REV0118,VWR0028,MOV057,2,love it,Negative,2025-02-23
REV0119,VWR1299,MOV041,1,NaN,Negative,2025-06-29
REV0120,VWR0856,MOV029,1,音楽 was good,Negative,2025-05-28
REV0121,VWR1198,MOV054,3,idk why people like this,Neutral,2025-07-28
REV0122,VWR1401,MOV001,2,love it,Negative,2025-08-20
REV0123,VWR0429,MOV024,2,galaxy burn is the best thing ever 💯,Negative,2025-06-01
REV0124,VWR0661,MOV051,2,love it,Negative,2025-02-18
REV0125,VWR0226,MOV047,2,terrible pacing ngl,Negative,2025-01-18
REV0126,VWR0544,MOV060,4,why is the app crashing?,Positive,2025-02-04
REV0127,VWR0679,MOV056,5,terrible pacing ngl,Positive,2025-07-30
REV0128,VWR0104,MOV029,4,galaxy burn is the best thing ever 💯,Positive,2025-10-21
REV0129,VWR0251,MOV052,4,,Positive,2025-03-03
REV0130,VWR1335,MOV042,4,meh,Positive,2025-10-03
REV0131,VWR0878,MOV033,1,why is the app crashing?,Negative,2025-08-08
REV0132,VWR0292,MOV036,5,terrible pacing ngl,Positive,2025-11-28
REV0133,VWR0063,MOV020,5,音楽 was good,Positive,2025-12-23
REV0134,VWR0144,MOV001,3,galaxy burn is the best thing ever 💯,Neutral,2025-10-15
REV0135,VWR0959,MOV026,5,ending felt rushed tbh,Positive,2025-11-19
REV0136,VWR1246,MOV015,1,meh,Negative,2025-01-14
REV0137,VWR0120,MOV010,5,galaxy burn is the best thing ever 💯,Positive,2025-09-08
REV0138,VWR1066,MOV047,1,love it,Negative,2025-02-15
REV0139,VWR0051,MOV006,4,love it,Positive,2025-09-18
REV0140,VWR0106,MOV040,5,why is the app crashing?,Positive,2025-06-10
REV0141,VWR0546,MOV031,1,so good!,Negative,2025-02-13
REV0142,VWR1175,MOV046,4,音楽 was good,Positive,2025-07-08
REV0143,VWR0053,MOV035,1,terrible pacing ngl,Negative,2025-05-29
REV0144,VWR0280,MOV018,5,idk why people like this,Positive,2025-04-30
REV0145,VWR0492,MOV020,3,THIS SHOW IS INSANE 🔥,Neutral,2025-04-19
REV0146,VWR1141,MOV033,2,love it,Negative,2025-10-26
REV0147,VWR0779,MOV056,1,NaN,Negative,2025-10-17
REV0148,VWR0952,MOV037,5,subtitles broken again,Positive,2025-10-24
REV0149,VWR0620,MOV036,2,THIS SHOW IS INSANE 🔥,Negative,2025-01-18
REV0150,VWR0167,MOV028,3,idk why people like this,Neutral,2025-07-28
REV0151,VWR0861,MOV023,1,THIS SHOW IS INSANE 🔥,Negative,2025-06-20
REV0152,VWR0061,MOV050,5,love it,Positive,2025-01-06
REV0153,VWR0352,MOV004,2,terrible pacing ngl,Negative,2025-07-13
REV0154,VWR0308,MOV005,5,meh,Positive,2025-03-30
REV0155,VWR0386,MOV052,5,THIS SHOW IS INSANE 🔥,Positive,2025-10-09
REV0156,VWR0459,MOV041,3,ending felt rushed tbh,Neutral,2025-04-26
REV0157,VWR0053,MOV044,4,音楽 was good,Positive,2025-09-20
REV0158,VWR1355,MOV007,1,galaxy burn is the best thing ever 💯,Negative,2025-10-05
REV0159,VWR0863,MOV017,1,subtitles broken again,Negative,2025-09-20
REV0160,VWR1091,MOV035,3,love it,Neutral,2025-03-24
REV0161,VWR0234,MOV039,3,terrible pacing ngl,neutral,2025-04-02
REV0162,VWR0543,MOV048,2,love it,Negative,2025-09-12
REV0163,VWR0207,MOV042,2,THIS SHOW IS INSANE 🔥,Negative,2025-08-24
REV0164,VWR1117,MOV051,1,galaxy burn is the best thing ever 💯,Negative,2025-07-01
REV0165,VWR0663,MOV001,4,galaxy burn is the best thing ever 💯,Positive,2025-10-21
REV0166,VWR0014,MOV020,3,ending felt rushed tbh,Neutral,2025-01-27
REV0167,VWR1445,MOV038,2,subtitles broken again,Negative,2025-05-23
REV0168,VWR0985,MOV010,1,meh,Negative,2025-01-31
REV0169,VWR0154,MOV001,3,why is the app crashing?,Neutral,2025-03-17
REV0170,VWR0455,MOV026,3,ending felt rushed tbh,Neutral,2025-12-25
REV0171,VWR0147,MOV052,5,音楽 was good,Positive,2025-10-28
REV0172,VWR0015,MOV023,3,meh,Neutral,2025-11-25
REV0173,VWR0533,MOV048,4,,Positive,2025-03-23
REV0174,VWR1078,MOV008,3,meh,Neutral,2025-04-03
REV0175,VWR0151,MOV004,1,galaxy burn is the best thing ever 💯,Negative,2025-12-05
REV0176,VWR0839,MOV037,2,love it,Negative,2025-09-26
REV0177,VWR0999,MOV006,3,音楽 was good,Neutral,2025-07-05
REV0178,VWR0021,MOV050,4,love it,Positive,2025-11-20
REV0179,VWR0862,MOV048,4,idk why people like this,Positive,2025-07-03
REV0180,VWR0371,MOV022,3,so good!,Neutral,2025-01-26
REV0181,VWR0765,MOV056,5,love it,Positive,2025-05-16
REV0182,VWR1461,MOV014,3,galaxy burn is the best thing ever 💯,Neutral,2025-07-25
REV0183,VWR1367,MOV020,1,,Negative,2025-11-16
REV0184,VWR0498,MOV019,3,love it,Neutral,2025-05-16
REV0185,VWR0010,MOV043,5,galaxy burn is the best thing ever 💯,Positive,2025-12-13
REV0186,VWR0195,MOV050,2,why is the app crashing?,Negative,2025-05-28
REV0187,VWR1094,MOV017,2,ending felt rushed tbh,Negative,2025-08-10
REV0188,VWR1047,MOV060,3,THIS SHOW IS INSANE 🔥,Neutral,2025-08-04
REV0189,VWR0333,MOV030,4,ending felt rushed tbh,Positive,2025-06-06
REV0190,VWR1220,MOV028,1,meh,negative,2025-10-31
REV0191,VWR0826,MOV048,1,love it,Negative,2025-02-07
REV0192,VWR1066,MOV034,3,,Neutral,2025-07-25
REV0193,VWR0777,MOV039,1,so good!,Negative,2025-04-09
REV0194,VWR0462,MOV031,5,ending felt rushed tbh,Positive,2025-06-11
REV0195,VWR0615,MOV052,1,meh,Negative,2025-02-22
REV0196,VWR1260,MOV049,3,idk why people like this,Neutral,2025-09-19
REV0197,VWR0447,MOV047,1,meh,Negative,2025-03-11
REV0198,VWR1249,MOV060,5,,Positive,2025-05-19
REV0199,VWR1128,MOV007,5,#### temp ####,Positive,2025-09-18
REV0200,VWR0739,MOV025,3,so good!,Neutral,2025-08-06
REV0201,VWR0242,MOV017,3,meh,Neutral,2025-03-13
REV0202,VWR0186,MOV012,1,音楽 was good,Negative,2025-03-12
REV0203,VWR0513,MOV022,1,galaxy burn is the best thing ever 💯,Negative,2025-06-17
REV0204,VWR0493,MOV023,3,why is the app crashing?,Neutral,2025-01-10
REV0205,VWR1225,MOV059,3,subtitles broken again,Neutral,2025-01-17
REV0206,VWR0840,MOV003,3,why is the app crashing?,Neutral,2025-08-14
REV0207,VWR0043,MOV007,1,subtitles broken again,Negative,2025-03-09
REV0208,VWR0514,MOV007,1,galaxy burn is the best thing ever 💯,Negative,2025-02-23
REV0209,VWR0876,MOV051,3,meh,Neutral,2025-09-29
REV0210,VWR0710,MOV045,5,idk why people like this,Positive,2025-08-03
REV0211,VWR0068,MOV029,1,so good!,Negative,2025-07-10
REV0212,VWR0697,MOV054,2,meh,Negative,2025-05-21
REV0213,VWR1293,MOV006,4,galaxy burn is the best thing ever 💯,positive,2025-10-14
REV0214,VWR0598,MOV034,5,love it,positive,2025-07-29
REV0215,VWR0175,MOV059,2,why is the app crashing?,Negative,2025-06-13
REV0216,VWR0905,MOV057,5,ERROR_EXPORT_ROW,positive,2025-06-30
REV0217,VWR0632,MOV039,3,,Neutral,2025-03-25
REV0218,VWR0586,MOV032,5,meh,Positive,2025-09-23
REV0219,VWR0734,MOV037,2,love it,Negative,2025-02-28
REV0220,VWR0935,MOV029,5,love it,Positive,2025-12-20
REV0221,VWR1315,MOV020,5,galaxy burn is the best thing ever 💯,Positive,2025-11-27
REV0222,VWR0454,MOV045,1,音楽 was good,Negative,2025-11-05
REV0223,VWR0489,MOV040,5,音楽 was good,Positive,2025-11-28
REV0224,VWR0993,MOV034,2,why is the app crashing?,Negative,2025-12-11
REV0225,VWR0067,MOV033,1,love it,Negative,2025-03-25
REV0226,VWR0148,MOV030,4,galaxy burn is the best thing ever 💯,Positive,2025-10-29
REV0227,VWR0625,MOV020,5,terrible pacing ngl,Positive,2025-07-26
REV0228,VWR1392,MOV014,1,why is the app crashing?,Negative,2025-08-12
REV0229,VWR0613,MOV039,5,love it,Positive,2025-05-18
REV0230,VWR1215,MOV006,4,meh,Positive,2025-10-07
REV0231,VWR0348,MOV039,4,so good!,positive,2025-07-28
REV0232,VWR0556,MOV051,3,ending felt rushed tbh,Neutral,2025-12-27
REV0233,VWR0620,MOV011,4,love it,Positive,2025-07-06
REV0234,VWR0313,MOV007,2,so good!,Negative,2025-09-05
REV0235,VWR0602,MOV037,5,so good!,Positive,2025-02-09
REV0236,VWR0144,MOV010,3,THIS SHOW IS INSANE 🔥,Neutral,2025-06-21
REV0237,VWR1342,MOV001,2,meh,Negative,2025-02-08
REV0238,VWR0173,MOV029,1,why is the app crashing?,Negative,2025-01-04
REV0239,VWR0641,MOV032,5,meh,Positive,2025-11-19
REV0240,VWR0230,MOV028,3,so good!,Neutral,2025-11-24
REV0241,VWR0911,MOV011,5,THIS SHOW IS INSANE 🔥,Positive,2025-07-12
REV0242,VWR1026,MOV021,4,galaxy burn is the best thing ever 💯,Positive,2025-05-02
REV0243,VWR1089,MOV007,4,so good!,Positive,2025-05-11
REV0244,VWR1262,MOV056,5,subtitles broken again,Positive,2025-11-01
REV0245,VWR0460,MOV001,5,why is the app crashing?,Positive,2025-09-10
REV0246,VWR0683,MOV001,4,subtitles broken again,Positive,2025-03-12
REV0247,VWR0813,MOV029,1,THIS SHOW IS INSANE 🔥,Negative,2025-08-22
REV0248,VWR0892,MOV025,3,so good!,Neutral,2025-12-21
REV0249,VWR0125,MOV019,1,idk why people like this,Negative,2025-10-12
REV0250,VWR0669,MOV024,4,love it,Positive,2025-03-31
REV0251,VWR0570,MOV017,5,idk why people like this,Positive,2025-12-22
REV0252,VWR1116,MOV018,2,音楽 was good,Negative,2025-02-22
REV0253,VWR0959,MOV054,2,so good!,Negative,2025-01-18
REV0254,VWR0661,MOV052,3,why is the app crashing?,Neutral,2025-04-29
REV0255,VWR0181,MOV001,4,subtitles broken again,Positive,2025-10-11
REV0256,VWR1347,MOV054,4,love it,Positive,2025-12-02
REV0257,VWR0911,MOV047,5,terrible pacing ngl,Positive,2025-05-28
REV0258,VWR0029,MOV006,2,terrible pacing ngl,Negative,2025-04-17
REV0259,VWR1211,MOV035,2,THIS SHOW IS INSANE 🔥,Negative,2025-03-05
REV0260,VWR0843,MOV046,3,ending felt rushed tbh,Neutral,2025-06-21
REV0261,VWR1059,MOV007,5,why is the app crashing?,Positive,2025-12-27
REV0262,VWR0441,MOV058,1,meh,Negative,2025-03-04
REV0263,VWR0463,MOV001,5,音楽 was good,Positive,2025-11-24
REV0264,VWR0698,MOV033,5,so good!,Positive,2025-08-19
REV0265,VWR1416,MOV030,1,ending felt rushed tbh,negative,2025-04-11
REV0266,VWR0297,MOV013,4,音楽 was good,Positive,2025-06-21
REV0267,VWR0845,MOV016,1,meh,Negative,2025-07-06
REV0268,VWR1225,MOV019,4,ending felt rushed tbh,Positive,2025-02-04
REV0269,VWR0198,MOV038,4,idk why people like this,Positive,2025-09-20
REV0270,VWR0931,MOV036,4,so good!,Positive,2025-08-01
REV0271,VWR0424,MOV008,4,subtitles broken again,Positive,2025-05-08
REV0272,VWR1136,MOV002,2,why is the app crashing?,negative,2025-01-05
REV0273,VWR0641,MOV017,2,ending felt rushed tbh,Negative,2025-01-14
REV0274,VWR0614,MOV039,5,meh,Positive,2025-04-08
REV0275,VWR0555,MOV038,1,galaxy burn is the best thing ever 💯,Negative,2025-02-09
REV0276,VWR1179,MOV012,1,terrible pacing ngl,Negative,2025-02-09
REV0277,VWR0142,MOV038,5,galaxy burn is the best thing ever 💯,Positive,2025-06-20
REV0278,VWR0911,MOV039,5,idk why people like this,Positive,2025-12-01
REV0279,VWR0152,MOV058,3,idk why people like this,Neutral,2025-12-24
REV0280,VWR0179,MOV021,4,terrible pacing ngl,Positive,2025-08-22
REV0281,VWR1024,MOV027,4,why is the app crashing?,positive,2025-06-11
REV0282,VWR0038,MOV023,1,so good!,Negative,2025-01-06
REV0283,VWR0627,MOV023,5,love it,Positive,2025-09-08
REV0284,VWR0416,MOV030,2,idk why people like this,Negative,2025-06-06
REV0285,VWR0322,MOV035,1,why is the app crashing?,Negative,2025-10-01
REV0286,VWR0094,MOV055,3,love it,neutral,2025-04-08
REV0287,VWR1126,MOV049,1,,Negative,2026-01-01
REV0288,VWR0392,MOV015,4,,Positive,2025-01-02
REV0289,VWR0609,MOV029,5,THIS SHOW IS INSANE 🔥,positive,2025-06-26
REV0290,VWR0422,MOV054,5,love it,positive,2025-10-24
REV0291,VWR1189,MOV060,3,,Neutral,2025-11-22
REV0292,VWR1426,MOV056,1,so good!,Negative,2025-01-24
REV0293,VWR0591,MOV054,1,terrible pacing ngl,Negative,2025-02-27
REV0294,VWR1084,MOV021,5,so good!,Positive,2025-09-10
REV0295,VWR0688,MOV025,3,,Neutral,2025-04-15
REV0296,VWR0822,MOV021,2,terrible pacing ngl,Negative,2025-06-29
REV0297,VWR0514,MOV043,4,THIS SHOW IS INSANE 🔥,positive,2025-10-15
REV0298,VWR0264,MOV048,1,subtitles broken again,Negative,2025-05-25
REV0299,VWR0806,MOV027,5,galaxy burn is the best thing ever 💯,Positive,2025-07-13
REV0300,VWR0267,MOV020,2,subtitles broken again,Negative,2025-10-31
REV0301,VWR0280,MOV016,1,meh,Negative,2025-01-26
REV0302,VWR0495,MOV027,4,terrible pacing ngl,Positive,2025-11-25
REV0303,VWR0474,MOV047,1,terrible pacing ngl,Negative,2025-04-11
REV0304,VWR1202,MOV025,1,so good!,Negative,2025-02-04
REV0305,VWR0836,MOV048,4,ending felt rushed tbh,Positive,2025-09-02
REV0306,VWR0548,MOV015,3,音楽 was good,Neutral,2025-08-01
REV0307,VWR0450,MOV029,1,ERROR_EXPORT_ROW,Negative,2025-11-22
REV0308,VWR1450,MOV022,3,terrible pacing ngl,Neutral,2025-10-15
REV0309,VWR1140,MOV028,1,#### temp ####,Negative,2025-12-04
REV0310,VWR0037,MOV059,2,THIS SHOW IS INSANE 🔥,Negative,2025-01-13
REV0311,VWR0774,MOV041,2,idk why people like this,Negative,2025-07-11
REV0312,VWR0627,MOV019,2,terrible pacing ngl,Negative,2025-10-24
REV0313,VWR0881,MOV055,1,ERROR_EXPORT_ROW,Negative,2025-04-20
REV0314,VWR1152,MOV014,3,why is the app crashing?,Neutral,2025-03-11
REV0315,VWR1200,MOV033,2,subtitles broken again,Negative,2025-01-10
REV0316,VWR0832,MOV025,5,meh,Positive,2025-12-22
REV0317,VWR1006,MOV034,2,why is the app crashing?,Negative,2025-11-06
REV0318,VWR1325,MOV015,5,subtitles broken again,positive,2025-05-04
REV0319,VWR0397,MOV029,2,love it,negative,2025-03-09
REV0320,VWR0108,MOV009,5,meh,Positive,2025-01-24
REV0321,VWR0575,MOV020,3,THIS SHOW IS INSANE 🔥,Neutral,2025-12-24
REV0322,VWR0687,MOV047,2,love it,Negative,2025-07-27
REV0323,VWR1218,MOV023,3,meh,Neutral,2025-07-27
REV0324,VWR1312,MOV033,5,ending felt rushed tbh,positive,2025-08-30
REV0325,VWR1033,MOV022,1,ending felt rushed tbh,Negative,2025-03-21
REV0326,VWR0097,MOV056,4,love it,Positive,2025-09-09
REV0327,VWR0600,MOV005,4,so good!,Positive,2025-04-15
REV0328,VWR0615,MOV033,2,THIS SHOW IS INSANE 🔥,Negative,2025-07-13
REV0329,VWR0634,MOV043,1,why is the app crashing?,Negative,2025-06-17
REV0330,VWR0302,MOV058,2,idk why people like this,Negative,2025-10-07
REV0331,VWR1319,MOV045,5,ending felt rushed tbh,Positive,2025-03-10
REV0332,VWR1477,MOV044,2,love it,Negative,2025-05-21
REV0333,VWR0720,MOV045,1,idk why people like this,Negative,2025-05-18
REV0334,VWR1247,MOV026,2,galaxy burn is the best thing ever 💯,Negative,2025-05-21
REV0335,VWR1369,MOV008,3,galaxy burn is the best thing ever 💯,Neutral,2025-06-17
REV0336,VWR1229,MOV045,1,love it,Negative,2025-10-25
REV0337,VWR0527,MOV033,3,galaxy burn is the best thing ever 💯,Neutral,2025-07-14
REV0338,VWR0368,MOV056,3,so good!,Neutral,2025-02-09
REV0339,VWR0762,MOV035,3,THIS SHOW IS INSANE 🔥,Neutral,2025-06-26
REV0340,VWR0450,MOV003,3,THIS SHOW IS INSANE 🔥,Neutral,2025-12-01
REV0341,VWR0850,MOV037,2,so good!,Negative,2025-06-25
REV0342,VWR1409,MOV020,2,,Negative,2025-02-20
REV0343,VWR1009,MOV044,2,,Negative,2025-08-07
REV0344,VWR1219,MOV040,2,meh,Negative,2025-06-22
REV0345,VWR0099,MOV021,4,love it,Positive,2025-12-05
REV0346,VWR1041,MOV036,3,THIS SHOW IS INSANE 🔥,Neutral,2025-02-18
REV0347,VWR1032,MOV034,1,THIS SHOW IS INSANE 🔥,Negative,2025-02-19
REV0348,VWR0984,MOV016,3,THIS SHOW IS INSANE 🔥,Neutral,2025-12-28
REV0349,VWR1359,MOV007,4,galaxy burn is the best thing ever 💯,Positive,2025-12-24
REV0350,VWR1051,MOV059,4,so good!,positive,2025-04-11
REV0351,VWR1020,MOV018,1,ending felt rushed tbh,Negative,2025-11-06
REV0352,VWR0396,MOV052,2,galaxy burn is the best thing ever 💯,Negative,2025-09-15
REV0353,VWR1484,MOV021,3,so good!,Neutral,2025-01-09
REV0354,VWR0063,MOV017,1,ending felt rushed tbh,Negative,2025-10-20
REV0355,VWR1408,MOV027,4,idk why people like this,Positive,2025-06-28
REV0356,VWR0145,MOV009,4,galaxy burn is the best thing ever 💯,Positive,2025-07-25
REV0357,VWR0628,MOV036,1,subtitles broken again,Negative,2025-02-16
REV0358,VWR0449,MOV039,1,meh,Negative,2025-11-27
REV0359,VWR0007,MOV032,1,terrible pacing ngl,Negative,2025-04-25
REV0360,VWR0590,MOV016,3,,Neutral,2025-05-15
REV0361,VWR0815,MOV022,5,meh,Positive,2025-10-21
REV0362,VWR0008,MOV011,3,meh,Neutral,2025-02-13
REV0363,VWR0996,MOV038,3,音楽 was good,Neutral,2025-08-31
REV0364,VWR0454,MOV037,2,THIS SHOW IS INSANE 🔥,Negative,2025-04-13
REV0365,VWR1345,MOV051,3,,Neutral,2025-10-07
REV0366,VWR0075,MOV014,1,meh,Negative,2025-03-21
REV0367,VWR1321,MOV060,2,THIS SHOW IS INSANE 🔥,Negative,2025-08-06
REV0368,VWR1433,MOV024,3,ending felt rushed tbh,Neutral,2025-03-05
REV0369,VWR0826,MOV006,3,why is the app crashing?,Neutral,2025-09-04
REV0370,VWR1192,MOV012,2,meh,Negative,2025-09-29
REV0371,VWR1007,MOV049,2,idk why people like this,Negative,2025-03-20
REV0372,VWR0900,MOV035,5,subtitles broken again,Positive,2025-03-11
