activity_id,viewer_id,movie_id,watch_date,watch_minutes,completion_rate,device_used
ACT00240,VWR0829,MOV036,2025-04-17 05:05:00,22,19,Tablet
ACT00241,VWR0726,MOV048,2025-11-09 12:34:00,61,51,Tablet
ACT00242,VWR0502,MOV020,2025-03-05 08:43:00,79,66,Smart TV
ACT00243,VWR0986,MOV022,2025-11-26 19:14:00,115,96,Tablet
ACT00244,VWR0481,MOV014,2025-06-14 12:35:00,76,64,Desktop
ACT00245,VWR1176,MOV019,2025-03-25 14:09:00,26,22,Mobile
ACT00246,VWR0697,MOV056,2025-09-30 20:09:00,112,94,Desktop
ACT00247,VWR1321,MOV023,2025-08-08 15:45:00,98,82,Tablet
ACT00248,VWR1324,MOV037,2025-10-06 19:43:00,27,23,Smart TV
ACT00249,VWR0125,MOV023,2025-04-02 21:04:00,78,65,Desktop
ACT00250,VWR0128,MOV020,2025-03-22 19:19:00,116,97,Mobile
ACT00251,VWR0722,MOV042,2025-08-15 10:35:00,22,19,Smart TV
ACT00252,VWR0333,MOV010,2025-05-15 17:40:00,100,84,Mobile
ACT00253,VWR0005,MOV057,2025-12-03 19:37:00,103,86,Tablet
ACT00254,VWR1054,MOV007,2025-06-26 00:30:00,102,85,Smart TV
ACT00255,VWR1242,MOV025,2025-03-21 23:45:00,14,12,Tablet
ACT00256,VWR0864,MOV050,2025-02-04 21:21:00,110,92,Mobile
ACT00257,VWR1154,MOV022,2025-04-09 03:36:00,103,86,Mobile
ACT00258,VWR1432,MOV012,2025-09-26 01:07:00,79,66,Mobile
ACT00259,VWR1337,MOV007,2025-12-22 20:23:00,72,60,Tablet
ACT00260,VWR0717,MOV002,2025-12-15 18:00:00,109,91,Mobile
ACT00261,VWR0259,MOV010,2025-08-21 23:21:00,108,90,Tablet
ACT00262,VWR0771,MOV043,2025-06-13 19:11:00,38,32,Smart TV
ACT00263,VWR0457,MOV054,2025-10-26 06:58:00,85,71,Mobile
ACT00264,VWR1356,MOV022,2025-12-21 21:22:00,120,100,Mobile
ACT00265,VWR0898,MOV033,2025-08-24 22:37:00,99,83,Mobile
ACT00266,VWR0802,MOV020,2025-06-07 18:32:00,49,41,Tablet
ACT00267,VWR0838,MOV014,2025-08-19 20:21:00,115,96,Tablet
ACT00268,VWR0191,MOV044,2025-11-15 23:25:00,52,44,Smart TV
ACT00269,VWR0511,MOV034,2025-07-14 23:54:00,120,100,Smart TV
ACT00270,VWR1433,MOV030,2025-08-15 23:06:00,57,48,Mobile
ACT00271,VWR1185,MOV036,2025-06-12 21:43:00,49,41,Desktop
ACT00272,VWR1080,MOV032,2025-06-20 17:43:00,24,20,Mobile
ACT00273,VWR0045,MOV005,2025-01-31 08:31:00,56,47,Smart TV
ACT00274,VWR0256,MOV047,2025-03-23 03:39:00,32,27,Smart TV
ACT00275,VWR1216,MOV002,2025-03-23 03:45:00,103,86,Smart TV
ACT00276,VWR0997,MOV011,2025-06-01 18:36:00,106,89,Smart TV
ACT00277,VWR1204,MOV020,2025-06-21 23:46:00,108,90,Mobile
ACT00278,VWR0658,MOV011,2025-11-14 21:31:00,27,23,Desktop
ACT00279,VWR0639,MOV016,2025-02-11 00:41:00,42,35,Tablet
ACT00280,VWR1311,MOV021,2025-10-01 20:48:00,34,29,Desktop
ACT00281,VWR1278,MOV012,2025-12-10 02:01:00,21,18,Tablet
ACT00282,VWR0365,MOV041,2025-12-12 20:51:00,38,32,Mobile
ACT00283,VWR0070,MOV019,2025-01-01 21:50:00,116,97,Mobile
ACT00284,VWR0713,MOV027,2025-11-03 20:46:00,78,65,Smart TV
ACT00285,VWR1102,MOV042,2025-10-03 22:05:00,112,94,Desktop
ACT00286,VWR0727,MOV015,2025-12-29 18:33:00,58,49,Smart TV
ACT00287,VWR1198,MOV016,2025-11-22 11:56:00,108,90,Smart TV
ACT00288,VWR1047,MOV033,2025-06-12 09:15:00,12,10,Smart TV
ACT00289,VWR0010,MOV022,2025-12-31 13:25:00,24,20,Desktop
ACT00290,VWR0924,MOV001,2025-11-16 17:40:00,105,88,Mobile
ACT00291,VWR1165,MOV018,2025-06-12 05:37:00,96,80,Smart TV
ACT00292,VWR1277,MOV010,2025-11-23 19:49:00,80,67,Mobile
ACT00293,VWR0155,MOV058,2025-04-24 22:36:00,45,38,Desktop
ACT00294,VWR0364,MOV049,2025-11-25 05:40:00,21,18,Mobile
ACT00295,VWR0137,MOV031,2025-02-04 08:50:00,114,95,Tablet
ACT00296,VWR0226,MOV005,2025-06-04 18:59:00,62,52,Tablet
ACT00297,VWR0905,MOV056,2025-08-12 20:34:00,100,84,Mobile
ACT00298,VWR1385,MOV009,2025-10-18 18:07:00,61,51,Smart TV
ACT00299,VWR0169,MOV020,2025-04-26 19:07:00,106,89,Desktop
ACT00300,VWR0075,MOV021,2025-09-04 11:17:00,42,35,Desktop
ACT00301,VWR0342,MOV034,2025-09-01 18:17:00,16,14,Smart TV
ACT00302,VWR0690,MOV029,2025-03-27 19:01:00,117,98,Tablet
ACT00303,VWR0901,MOV002,2025-09-30 21:47:00,75,63,Tablet
ACT00304,VWR0807,MOV056,2025-04-10 21:48:00,78,65,Mobile
ACT00305,VWR1046,MOV060,2025-01-12 22:42:00,52,44,Smart TV
ACT00306,VWR0814,MOV007,2025-08-23 20:48:00,54,45,Tablet
ACT00307,VWR0001,MOV008,2025-09-07 19:30:00,48,40,Desktop
ACT00308,VWR1464,MOV056,2025-12-05 18:05:00,110,92,Smart TV
ACT00309,VWR0392,MOV011,2025-02-15 20:55:00,102,85,Tablet
ACT00310,VWR0104,MOV053,2025-07-29 14:22:00,72,60,Mobile
ACT00311,VWR0672,MOV019,2025-02-11 10:05:00,27,23,Desktop
ACT00312,VWR0310,MOV020,2025-12-07 18:21:00,28,24,Mobile
ACT00313,VWR0513,MOV020,2025-10-21 21:40:00,92,77,Tablet
ACT00314,VWR0650,MOV057,2025-07-24 17:11:00,68,57,Smart TV
ACT00315,VWR0491,MOV012,2025-01-08 12:16:00,112,94,Desktop
ACT00316,VWR0548,MOV022,2025-05-31 22:32:00,111,93,Mobile
ACT00317,VWR0501,MOV012,2025-05-19 23:27:00,49,41,Mobile
ACT00318,VWR0130,MOV048,2025-07-22 14:52:00,86,72,Tablet
ACT00319,VWR0244,MOV035,2025-10-30 23:39:00,93,78,Desktop
ACT00320,VWR1010,MOV022,2025-01-04 07:24:00,70,59,Desktop
ACT00321,VWR0367,MOV031,2025-05-17 17:44:00,18,15,Mobile
ACT00322,VWR1312,MOV010,2025-01-15 21:29:00,118,99,Smart TV
ACT00323,VWR0279,MOV004,2025-08-14 03:07:00,93,78,Tablet
ACT00324,VWR0388,MOV037,2025-07-24 19:59:00,70,59,Desktop
ACT00325,VWR0646,MOV048,2025-01-31 02:19:00,67,56,Desktop
ACT00326,VWR0048,MOV022,2025-04-27 06:17:00,40,34,Smart TV
ACT00327,VWR0641,MOV023,2025-03-16 18:23:00,28,24,Desktop
ACT00328,VWR0341,MOV003,2025-06-14 20:49:00,33,28,Mobile
ACT00329,VWR1002,MOV037,2025-11-17 15:54:00,30,25,Tablet
ACT00330,VWR1091,MOV030,2025-12-29 22:05:00,96,80,Tablet
ACT00331,VWR0483,MOV055,2025-11-23 11:29:00,61,51,Desktop
ACT00332,VWR1330,MOV058,2025-03-31 23:52:00,42,35,Tablet
ACT00333,VWR0395,MOV023,2025-06-28 11:01:00,48,40,Tablet
ACT00334,VWR1253,MOV009,2025-11-11 20:20:00,74,62,Mobile
ACT00335,VWR0938,MOV048,2025-12-08 22:10:00,73,61,Mobile
ACT00336,VWR0985,MOV060,2025-11-19 21:12:00,74,62,Tablet
ACT00337,VWR0660,MOV015,2025-07-18 18:07:00,102,85,Smart TV
ACT00338,VWR0384,MOV054,2025-03-21 02:00:00,61,51,Mobile
ACT00339,VWR0596,MOV031,2025-12-14 10:42:00,68,57,Desktop
ACT00340,VWR0740,MOV029,2025-11-13 01:17:00,12,10,Mobile
ACT00341,VWR0651,MOV048,2025-03-28 21:46:00,90,75,Smart TV
ACT00342,VWR0094,MOV054,2025-10-02 08:02:00,38,32,Mobile
ACT00343,VWR0412,MOV046,2025-05-30 08:47:00,78,65,Tablet
ACT00344,VWR1295,MOV001,2025-01-12 20:42:00,60,50,Smart TV
ACT00345,VWR0088,MOV037,2025-11-14 13:58:00,27,23,Mobile
ACT00346,VWR0769,MOV032,2025-01-01 16:30:00,117,98,Tablet
ACT00347,VWR1361,MOV044,2025-07-16 22:05:00,34,29,Mobile
ACT00348,VWR0722,MOV030,2025-12-10 22:14:00,72,60,Smart TV
ACT00349,VWR0187,MOV005,2025-04-18 21:23:00,70,59,Desktop
ACT00350,VWR1097,MOV053,2025-04-08 18:50:00,13,11,Smart TV
ACT00351,VWR1232,MOV010,2025-09-11 20:56:00,106,89,Desktop
ACT00352,VWR1091,MOV019,2025-12-01 06:02:00,86,72,Tablet
ACT00353,VWR1054,MOV033,2025-05-05 17:12:00,118,99,Smart TV
ACT00354,VWR0965,MOV053,2025-11-29 23:47:00,15,13,Mobile
ACT00355,VWR0973,MOV002,2025-11-30 11:53:00,33,28,Desktop
